意外身故、伤残	5万-50万	在保险期间内，被保险人不幸遭受意外事故导致身故或伤残，我们按条款给付意外身故/伤残保险金。
意外医疗	0-10万	因意外伤害事故需门诊或住院治疗，发生的医疗费用，我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分给付医疗保险金。
住院误工津贴	0-100元/天	因意外伤害事 故入院治疗，我们按照保险单载明的住院误工津贴日额给付，累计给付天数以90天为限。
救护车费用报销	0-2000	因意外伤害事故实际支付的救护车车费，我们将给付救护车车费保险金，以2000元为限。
飞机意外身故、伤残	0-800万	被保险人以乘客身份乘坐民航客机期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
火车意外身故、伤残	0-100万	被保险人以乘客身份乘坐商业营运的火车（含高铁、地铁）期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
轮船意外身故、伤残	0-100万	被保险人以乘客身份乘坐商业营运的轮船期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
汽车意外身故、伤残	0-30万	被保险人以乘客身份乘坐商业营运的汽车（含公交、出租车）期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。和意外身故、伤残累计赔付。
意外住院垫付/担保服务	赠送	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故和伤残	5-50万	在保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-5万	我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分按100%比例给付医疗保险金。
飞机意外伤害身故和伤残	50-800万	在保险期间内，被保险人以乘客身份乘坐民航客机期间因意外伤害事故身故/伤残，我们将按“飞机意外伤害保险金额”给付保险金。
火车意外伤害身故和伤残	10-100万	在保险期间内，被保险人以乘客身份乘坐商业运营的火车、高铁、地铁、轻轨期间因意外伤害事故身故/伤残，我们将按“火车意外伤害保险金额”给付保险金。
轮船意外伤害身故和伤残	10-100万	在保险期间内，被保险人以乘客身份乘坐商业运营的轮船期间因意外伤害事故身故/伤残，我们将按“轮船意外伤害保险金额”给付保险金。
汽车意外伤害身故和伤残	5-30万	在保险期间内，被保险人以乘客身份乘坐商业运营的汽车期间因意外伤害事故身故/伤残，我们将按“汽车意外伤害保险金额”给付保险金。
高风险运动意外身故和伤残	5-50万	在保险期间内，被保险人因参加高风险活动导致意外身故或伤残，我们也承担保险责任，累计赔付金额不超过投保的高风险意外伤害保险金额。
高风险运动意外医疗	1-5万	在保险期间内，被保险人因参加高风险活动导致意外伤害事故需门诊或住院治疗，发生的医疗费用，本公司就其事故发生之日起一百八十天内实际支出的符合社会医疗保险主管部门规定的合理医疗费用超过人民币100元的部分，按照100%的比例给付高风险意外伤害医疗保险金。
意外住院津贴	10-100元/天	同一被保险人一次或多次累计赔付天数不超过180天。
猝死	5-30万	在保险期间内，若被保险人不幸猝死,我们将按照约定赔付猝死保险金。
救护车费用	2000元	在保险期间内，被保险人因发生意外伤害事故实际支付的救护车车费，我们将按照约定给付救护车车费保险金，累计金额不超过2000元。
24小时电话医疗服务/代垫付住院保证金	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故/伤残	5-60万	在保险期间内，被保险人遭受意外伤害事故，自事故发生之日180天内，因为该事故导致身故、伤残的，本公司将按照被保险人的意外伤害保险金额进行赔偿，累计赔付金额不超过投保的意外伤害保险金额。
意外伤害医疗	0.5-10万	在当地社会医疗保险主管部门规定范围内，对超过人民币100元的部分，按照80%的比例赔付保险金。
意外住院津贴	30-150元/天	同一被保险人一次或多次累计赔付天数不超过180天。
重大疾病	1-20万	条款释义规定的30种重大疾病，我们将依照约定给付“重大疾病保险金”。(及时续保无等待期)
疾病(含猝死)身故	1-20万	在保险期间内，若被保险人不幸猝死或保险责任生效之日起30日后（不含第30天），因遭受疾病导致身故的，我们将按照约定给付“疾病身故保险金”。
飞机意外身故/伤残	50-800万	注：飞机意外身故/伤残与主险意外身故/伤残保额累计赔付。
火车（含地铁）意外伤害身故/伤残	10-100万	注：火车意外身故/伤残与主险意外身故/伤残保额累计赔付。
轮船意外身故/伤残	10-100万	注：轮船意外身故/伤残与主险意外身故/伤残保额累计赔付
汽车意外身故/伤残	5-30万	注：汽车意外身故/伤残与主险意外身故/伤残保额累计赔付。
私家车驾驶或乘坐意外身故/残疾	10-30万	因意外伤害事故导致身故、伤残的，我们将按“私家车驾驶或乘坐意外伤害身故和残疾”给付保险金。注：私家车意外身故/伤残与主险意外身故/伤残保额累计赔付。
24小时电话医疗服务/代垫付住院保证金	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外身故/伤残	5-50万	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1万-30万	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，按100%比例给付医疗保险金。
高风险运动（意外身故/伤残）	5-30万	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
高风险运动（意外伤害医疗）	1-10万	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
旅行急性病医疗费用补偿	1-10万	在保险期间内，被保险人因遭受急性病并在二级或二级以上的公立医院进行治疗，自事故发生或诊断之日起180日内实际支出的，按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分按100%比例给付医疗保险金。
急性病身故或全残	1-5万	被保险人旅行期间突发急性病，并自该疾病发生之日起30日内因该急性病身故或全残的，保险人按本附加险保险金额一次性给付急性病身故身故或全残保险金，对该被保险人的保险责任终止。
意外住院津贴	50~100元/天	在保险期间内，被保险人在旅行期间遭受意外伤害事故或罹患疾病，并在二级或二级以上的公立医院住院治疗，保险人就被保险人自事故发生或诊断之日起180日内的合理住院天数，按保险单载明的每日给付金额给付旅行住院津贴保险金。总赔偿天数累计不过超过90天。
交通工具意外伤害身故	10-20万	保险期间内，被保险人以乘客的身份乘坐公共交通工具时发生交通意外事故，并自事故发生之日起一百八十日内因该事故身故的，保险人按照本附加保险合同的保险金额向受益人给付“交通工具意外身故保险金”。
旅行票证损失	500-1000元	（每次事故免赔额为0元）
旅行随身行李损失	500-1000元	（每次事故免赔额为0元）
医疗运送和送返	15万	*不承担任何未经平安、救援服务机构或其授权代表批准并安排的运送或送返的费用。如果在紧急情况下，被保险人因身体状况不允许或其他客观原因无法通知救援服务机构，救援公司有权参照在相同情况下若由救援服务机构提供或安排服务所需要的合理的费用进行赔偿。
丧葬费	9000元	被保险人在非常住地身故的，根据被保险人亲属的要求并在不违反当地法律的情况下，救援服务机构或其授权代表安排在事发当地安葬被保险人。我公司承担安葬费用，最高给付金额以9000元为限。
亲属前往处理后事	9000元	被保险人于三十（30）天内在非常住地身故的，根据被保险人亲属的要求，经救援服务机构许可，该被保险人的一名成年直系亲属可以前往被保险人身故地，我公司负责承担该名亲属一套往返被保险人身故地与亲属所在地的普通航班经济舱机票、船票、火车票或汽车票的费用以及实际支出的合理住宿费，最高以9000元为限。
亲属慰问探访	9000元	被保险人经救援服务机构的授权医生与主治医生共同认定被保险人在事故发生地的预计住院时间超过八（8）日(不包括8日)，根据被保险人的要求，经救援服务机构许可，该被保险人的一名成年直系亲属可以前往被保险人住院地点探视，我公司负责承担该名亲属一套往返普通航班经济舱机票、船票、火车票、汽车票或其他更经济的交通方式的费用以及实际支出的合理住宿费，最高以9000元为限。
境内住院垫付及电话医学咨询	专享	*电话医学咨询服务不应被视为电话诊疗、120或911服务。
意外伤害身故和残疾	5-50万	注：综合意外身故/伤残与公共交通意外身故/残疾保额累计赔付。
意外伤害医疗	1-5万	给付医疗保险金。
飞机意外伤害身故和残疾	50-800万	在保险期间内，被保险人以乘客身份乘坐民航客机期间因意外伤害事故身故/残疾，我们将按“飞机意外伤害保险金额”给付保险金。
火车意外伤害身故和残疾	10-100万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
轮船意外伤害身故和残疾	10-100万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
汽车意外伤害身故和残疾	5-30万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
高风险运动意外身故和残疾	5-30万	在保险期间内，被保险人因参加高风险活动导致意外身故、伤残，我们将赔偿高风险运动意外身故或残疾保险金。
高风险运动意外医疗	1-5万	给付高风险运动意外医疗保险金。
意外住院津贴	10-100元/天	在保险期间内，被保险人因遭受意外伤害事故住院治疗，我们按照保险单载明的住院误工津贴日额给付，累计给付天数以180天为限。
猝死	5-50万	在保险期间内，若被保险人不幸猝死,我们将按照约定赔付猝死保险金。
救护车费用	2000元	在保险期间内，被保险人因发生意外伤害事故实际支付的救护车车费，我们将按照约定给付救护车车费保险金，累计金额不超过2000元。
意外住院垫付/担保服务	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故和残疾	10-50万元	被保险人不幸遭受意外伤害事故，导致身故、残疾的，我们将按照条款给付保险金。
意外伤害医疗	1-10万元	被保险人不幸遭受意外伤害事故进行治疗，按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用，对超过人民币100元的部分按照100%给付医疗保险金。
住院护理津贴	50-200元/天	被保险人不幸遭受意外伤害事故，并自事故发生之日起180天内，因该事故在医院进行住院治疗的，按照保险单载明的【意外伤害住院津贴日额*天数】给付意外住院津贴，累计天数不超过90天。
猝死	10-50万元	被保险人身体急性症状发生后即刻或二十四小时内发生死亡的，我们将按照条款给付保险金。
救护车车费保险金	2000元	保险期间内，被保险人发生主保险合同中保险事故后，需要安排救护车的，对于被保险人因该事故实际支付的、必要的救护车费用，保险人按照保险合同的约定负责赔偿。
飞机意外伤害身故和残疾	200-500万元	被保险人以乘客身份乘坐民航客机期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
火车意外伤害身故和残疾	20-100万元	被保险人以乘客身份乘坐商业营运的火车（含高铁、地铁）期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金
轮船意外伤害身故和残疾	20-100万元	被保险人以乘客身份乘坐商业营运的轮船期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
汽车意外伤害身故和残疾	10-50万元	被保险人以乘客身份乘坐商业营运的汽车期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
电话医学咨询	专享	服务电话：95511转9
意外住院医疗垫付	专享	服务电话：95511转9
意外伤害身故和残疾	1-50万元	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-50万元	。
高风险运动意外伤害身故和残疾	可选	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
高风险运动意外伤害医疗	可选	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
交通工具意外身故	1-50万元	保险期间内，被保险人以乘客的身份乘坐公共交通工具时发生交通意外事故，并自事故发生之日起一百八十日内因该事故身故的，保险人按照本附加保险合同的保险金额向受益人给付“交通工具意外身故保险金”。
急性病身故或全残	1-5万元	被保险人旅行期间突发急性病，并自该疾病发生之日起30日内因该急性病身故或全残的，保险人按本附加险保险金额一次性给付急性病身故身故或全残保险金，对该被保险人的保险责任终止。
意外住院津贴	50元/天或100元/天	在保险期间内，被保险人在旅行期间遭受意外伤害事故或突发严重急性病，并在二级或二级以上的公立医院住院治疗，保险人就被保险人自事故发生或诊断之日起180日内的合理住院天数，按保险单载明的每日给付金额给付旅行住院津贴保险金。总赔偿天数累计不过超过90天。
紧急医疗转运或送返	15万元	*救援公司医生及被保险人主治医师有权针对被保险人伤病情况做出专业的转运送返安排及判断是否有必要安排医疗护理人员。
遗体/骨灰送返	9000元	丧葬安排费用包含：尸体防腐、保存、火化、运输及骨灰盒等材料和服务费用。
亲属前往处理后事	5000元	并承担相关费用。
亲属慰问探访补偿	5000元	并承担相关费用。
境内住院垫付及电话医学咨询	服务	*电话医学咨询服务不应被视为电话诊疗、120或911服务。
飞机意外伤害身故/伤残	50-800万元	在保险期间内，以乘客身份乘坐民航客机期间因意外伤害事故身故/伤残，我们将按“飞机意外伤害保险金额”给付保险金；
火车意外伤害身故/残疾	10-100万元	在保险期间内，以乘客身份乘坐商业运营的火车、高铁、地铁、轻轨期间因意外伤害事故身故/伤残，我们将按“火车意外伤害保险金额”给付保险金；
轮船意外伤害身故/残疾	10-100万元	在保险期间内，以乘客身份乘坐商业运营的轮船期间因意外伤害事故身故/伤残，我们将按“轮船意外伤害保险金额”给付保险金；
汽车意外伤害身故/残疾	10-30万元	在保险期间内，以乘客身份乘坐商业运营的汽车期间因意外伤害事故身故/伤残，我们将按“汽车意外伤害保险金额”给付保险金；
驾乘意外伤害身故/残疾	10-30万元	在保险期间内，被保险人因乘坐或驾驶10座以下非营运客车，以及乘坐旅游大巴车、景区观光车时发生意外伤害事故，我们将按“驾乘人员意外伤害保险金额”给付身故保险金和伤残保险金。
意外伤害身故、残疾	1-50万元	在保险期间内，被保险人因遭受意外伤害事故，并自事故发生之日起180日内因此意外事故而身故或伤残，我们将按照条款和保险单载明的金额赔偿意外身故保险金或意外残疾保险金。
意外伤害医疗(含门诊及住院)	1-10万元	给付医疗保险金。
重大疾病	5-50万元	三十种重大疾病
疾病身故、残疾	5-20万元	，被保险人因疾病导致身故或造成主保险合同所附《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残程度第一级之一者的，保险人按保险单中载明的保险金额一次性给付保险金。
住院医疗	1-10万元	有社保：扣除社保报销部分后，按免赔额100元，赔付比例80%给付住院医疗保险金；无社保：按免赔额500元，赔付比例70%给付住院医疗保险金。
疫苗接种身故、残疾	5-20万元	（五）偶合症。
意外住院津贴	50-200元/天	在保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起180日内因该事故进行住院治疗，我们将按照条款和保险单载明的意外住院津贴日额给付保险金，累计给付180天为限。
电话医学咨询	专享	服务电话：95511转9
意外住院垫付/担保服务	专享	服务电话：95511转9
重疾绿色通道服务	专享	服务电话：95511转9
意外伤害身故、残疾	5-30万元	在保险期间内，被保险人因遭受意外伤害事故导致身故、残疾的，我们将赔偿意外身故保险金或意外残疾保险金。
(含门诊及住院)	0.5-1万元	在保险期间内，被保险人因遭受意外伤害事故需门诊或住院治疗，我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，按90%的比例给付医疗保险金。
猝死	5-20万元	在保险期间内，若被保险人不幸猝死,我们将按照保险合同约定的保险金额进行赔付。
意外和疾病住院	0.1-1万元	有社保：扣除社保报销部分后，按免赔额100元，赔付比例90%给付住院医疗保险金；无社保：按免赔额500元，赔付比例70%给付住院医疗保险金。
意外住院津贴	50-200元/天	在保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起180日内因该事故进行住院治疗，我们将按照条款和保险单载明的意外住院津贴日额给付保险金，累计给付180天为限。
火车意外身故、残疾	10-100万元	在保险期间内，被保险人以乘客身份乘坐商业运营的火车、高铁、地铁、轻轨期间因意外伤害事故导致身故、残疾的，我们将按“火车意外伤害保险金额”给付保险金。
汽车意外身故、残疾	5-30万元	在保险期间内，被保险人以乘客身份乘坐商业运营的汽车（包括公共汽车、出租车等）期间因意外伤害事故导致身故、残疾的，我们将按“汽车意外伤害保险金额”给付保险金。
燃气意外身故、残疾	5-30万元	在保险期间内，被保险人因遭受燃气意外伤害导致身故、残疾的，我们将按“燃气意外伤害保险金额”给付保险金。
救护车费用报销	2000元	在保险期间内，被保险人因遭受意外伤害事故后，对被保险人因该事故实际支付的救护车车费，我们将在救护车车费保险金额范围内给付“救护车车费保险金”。
银行卡盗刷损失	1-10万元	银行卡包括：被保险人名下的借记卡、信用卡主卡及与其关联的附属卡、存折、网银账户和以被保险人为持卡人的信用卡附属卡。
电话医学咨询	专享	服务电话：95511转9
意外住院垫付/担保服务	专享	服务电话：95511转9
意外伤害身故和残疾	10-50万	自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-5万	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并在符合本条款第二十八条释义的医院（以下简称“释义医院”）进行治疗，保险人就被保险人自事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，给付医疗保险金。
自驾游意外伤害身故和残疾	10-50万	的客车。
意外和疾病住院津贴	50-200元/天	在保险期间内，被保险人在旅行期间遭受意外伤害事故或突发严重急性病，并在符合本条款第十条释义的医院（以下简称“释义医院”）住院治疗，保险人就被保险人自事故发生或诊断之日起180日内的合理住院天数，按保险单载明的每日给付金额给付旅行住院津贴保险金。
道路救援服务	道路救援服务	专享
紧急医疗转运或送返	20万	*救援公司医生及被保险人主治医师有权针对被保险人伤病情况做出专业的转运送返安排及判断是否有必要安排医疗护理人员。
遗体/骨灰送返	5000元	丧葬安排费用包含：尸体防腐、保存、火化、运输及骨灰盒等材料和服务费用。
亲属前往处理后事	6000元	并承担相关费用。
亲属慰问探访补偿	6000元	并承担相关费用。
境内住院垫付及电话医学咨询	服务	*电话医学咨询服务不应被视为电话诊疗、120或911服务。
意外身故、伤残	1-50万元	在保险期间内，被保险人因遭受意外伤害事故导致身故、残疾的，我们将赔偿意外身故保险金或意外残疾保险金。
意外医疗	0.2-10万元	在保险期间内，被保险人因遭受意外伤害事故需门诊或住院治疗，我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，按90%的比例给付医疗保险金。
猝死	5-50万元	在保险期间内，若被保险人不幸猝死,我们将按照保险合同约定的保险金额进行赔付。
疾病住院医疗	1-4万元	有社保：扣除社保报销部分后，按免赔额100元，赔付比例90%给付住院医疗保险金；无社保：按免赔额500元，赔付比例70%给付住院医疗保险金。
重大疾病	5-50万元	，我们将按条款给付重大疾病保险金。
住院误工津贴	20-100元/天	在保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起180日内因该事故进行住院治疗，我们将按照条款和保险单载明的意外住院津贴日额给付保险金，单次事故累计给付以60天为限，全年累计给付以90天为限。
飞机意外身故、伤残	50-800万元	在保险期间内，被保险人以乘客身份乘坐民航客机期间因意外伤害事故身故、伤残的，我们将按“飞机意外伤害保险金额”给付保险金；
火车意外身故、伤残	10-100万元	在保险期间内，被保险人以乘客身份乘坐商业运营的火车、高铁、地铁、轻轨期间因意外伤害事故导致身故、残疾的，我们将按“火车意外伤害保险金额”给付保险金。
轮船意外身故、伤残	10-100万元	在保险期间内，被保险人以乘客身份乘坐商业运营的轮船期间因意外伤害事故身故/伤残，我们将按“轮船意外伤害保险金额”给付保险金；
汽车意外身故、伤残	5-30万元	在保险期间内，被保险人以乘客身份乘坐商业运营的汽车（包括公共汽车、出租车等）期间因意外伤害事故导致身故、残疾的，我们将按“汽车意外伤害保险金额”给付保险金。
电话医学咨询	专享	服务电话：95511转9
意外住院垫付/担保服务	专享	服务电话：95511转9
意外伤害身故、残疾	10-40万元	在保险期间内，被保险人在境外留学期间遭受意外伤害事故导致身故、伤残的，保险人依照约定给付保险金
公共交通意外身故	10-40万元	保险期间内，被保险人以乘客的身份乘坐公共交通工具时发生交通意外事故，并自事故发生之日起一百八十日内因该事故身故的，保险人按照本附加保险合同的保险金额向受益人给付“交通工具意外身故保险金”。
自驾意外伤害身故和残疾	10-40万元	在保险期间内，被保险人因参加自驾游而驾驶或乘坐自驾车期间因遭受道路交通意外伤害事故导致被保险人身故或伤残的，保险人依照约定给付保险金。
意外和疾病住院和门急诊	10-50万元	(每次事故免赔额800元，其中辅助设备每次事故限额2500元，牙科门诊每次事故限额4000元)。
意外和疾病住院津贴	100-200元/天	(最多赔偿180天、每一保险事故免赔额3天）
第三者责任	10-100万	在本附加险保险期间内，如果被保险人在境外旅行期间因过失发生意外事故导致第三者人身伤亡或财产直接损失，对于依照当地相关法律法规被保险人应向该第三者承担经济赔偿责任，保险人根据本附加险的约定负责赔偿，以保险单所载的本附加险项下相应的保险金额为限。
绑架及非法拘禁	1.2-1.5万元	（每24小时赔3000元）。
学业中断	10-30万元	(每次事故免赔额为赔款的10%）
旅行票证损失	2000-5000元	本附加险保险期间内，如果被保险人在境外旅行期间因遭受抢劫或盗窃，导致被保险人旅行票证（指护照、旅行交通票据及其他为完成该次旅行所必需的证件）损失的，保险人按照本附加险的约定，赔偿被保险人旅行票证的重置费用，以及被保险人为重置旅行票证所额外支出的合理必要的交通费用及酒店住宿费用。
医疗运送和送返	100万元	*不承担任何未经平安、救援服务机构或其授权代表批准并安排的运送或送返的费用。如果在紧急情况下，被保险人因身体状况不允许或其他客观原因无法通知救援服务机构，救援公司有权参照在相同情况下若由救援服务机构提供或安排服务所需要的合理的费用进行赔偿。
遗体/骨灰送返	20万元	遗体/骨灰送返服务所需费用包括尸体防腐、保存、火化、运输及骨灰盒等材料和服务费用，救援公司承担的此项费用总数最高以合同上载明的相应的服务限额为限。
亲属慰问探访	1万元	（经济舱往返机票上限￥6,500；住宿费每日不超过￥1,600且每次事件该项目最高上限为￥6,500）
休养期的饭店住宿	5000元	（任一事故下最多补偿4天，每日限额￥1600）
安排并支付未成年子女回国	1万元	的费用，但被保险人原有机票应交由救援公司处理。必要时，救援服务机构将安排护送人员护送该未成年子女回国并由救援公司负责承担相应的费用。
紧急返回居住地国家	1万元	费用。
亲属前往处理后事保险金	1万元	被保险人因遭受主保险合同约定的保险事故导致被保险人于三十（30）天内在旅途中身故的，根据被保险人亲属的要求，经救援服务机构许可，该被保险人的一名成年直系亲属可以前往被保险人身故地，救援公司负责承担该名亲属一套往返被保险人身故地与亲属所在地的普通航班经济舱机票、船票或火车票的费用以及实际支出的合理住宿费，最高以合同上载明的相应的服务限额为限。
（请查看保障详情解读）	专享	。
飞机意外身故/伤残	60-800万元	在保险期间内，以乘客身份乘坐民航客机期间因意外伤害事故身故/伤残，我们将按“飞机意外伤害保险金额”给付保险金；
驾驶人意外伤害身故和残疾	10-100万元	在保险期间内，被保险人驾驶机动车辆发生道路交通事故并自该事故发生之日起180日内因该事故造成身故、残疾的，我们将依照约定给付赔偿金。
驾驶人意外伤害医疗	2-20万元	在保险期间内，被保险人驾驶机动车辆发生道路交通事故导致被保险人需门诊或住院治疗，我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，按80%的比例给付“意外伤害医疗保险金”。
道路救援服务	专享	*紧急脱困服务指：动用辅助设施或两辆车完成救援；动用吊车和多人完成救援；动用大型清障车（吊车功能）或者大型吊车完成救援。
意外伤害身故和残疾	5-50万元	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-50万元	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并在符合本条款第二十八条释义的医院（以下简称“释义医院”）进行治疗，保险人就被保险人自事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，给付医疗保险金。
高原反应意外伤害身故和残疾	5-20万元	在保险期间内，被保险人因高原反应导致身故、伤残的，保险人依照下列约定给付保险金。
高原反应意外医疗	1-5万元	在保险期间内，被保险人发生高原反应，并因此在符合本附加保险合同约定的医院进行治疗，保险人就其自事故发生之日起一百八十日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要、合理的医疗费用，按保险单载明的免赔额和赔付比例给付“意外伤害医疗保险金”。
紧急医疗转运或送返	15万元	*救援公司医生及被保险人主治医师有权针对被保险人伤病情况做出专业的转运送返安排及判断是否有必要安排医疗护理人员。
遗体/骨灰送返、丧葬安排	9000元	丧葬安排费用包含：尸体防腐、保存、火化、运输及骨灰盒等材料和服务费用。
亲属前往处理后事	5000元	并承担相关费用。
亲属慰问探访补偿	5000元	并承担相关费用。
境内住院垫付及电话医学咨询	服务	*电话医学咨询服务不应被视为电话诊疗、120或911服务。
重大疾病	1-50万元	相关疾病描述及诊断判定请以条款中的约定为准。
重疾绿色通道服务	专享	服务电话：95511转9
